askedByUserId,questionText
2126,Why has loan been rejected?
2517,Ok thanks
2517,I forwarded my certificate of clearance from trans union and even you replied that my account was cleared and you gave me a loan  of kshs 250 which I cleared. What is happening to my account?
2780,I cant access your services
2788,ok
2788,I promise to finish my loan by this month
2884,The messages are on my line...
2884,I hv my transaction messages with me y am i not approved to this time? I urgently need the cash
2926,"Hi! I hope this will take you well, I cleared my loan"
2983,Another 7 days what! For the third time now.
3056,Hey Branch i am sorry for being late in payment bt i will pay on Monday 6/2/2017 bt the reason of late repayment is due to maturing of cheque because it was signed late bt i apologize n opz it will never happen again.
3091,I'll pay the 32/= together with Monday's 566/=
3112,I appreciate for da follow-up u made tanx alot
3112,How long does it for me to get da batch number cz hve cleared ma loan on 31st
3112,"Within aweek,specifically when plz"
3112,72hrs
3112,Hope da clearance last for 72grs
3112,Dis is keynan did u shared my details with crb
3112,Can I get batch number plz
3112,Can I have direct contact thus I keep untouched with da concern authorities
3112,Am still getting from another financial institutions dat I owe branch 1068 n have already paid dat amount
3112,"Dis is keynan,can u kindly forward ma details to crb hve got stucked somewhere"
3170,sorry for that but i am still  searching for the money but will be paying the loan soon as the deadline i had set passed but i am doing all i can to settle the loan
3643,Alright. Thanks.
3701,Do I have any other loan that I didn't pay
3701,Why don't you want to give me a loan
3725,Sorry for the delay i block my mpesa pin but now its okey will pay by end of today
3775,"Hi Branch, why do i have the text that my payment is late while its due today? 3feb 2017"
3897,Thanks for understanding my situation I look forward to settling my loans on the time I have promised
3897,I'm expecting to clear by date 8/2/2017
3897,I've settled many of your loans before please don't spoil my credit report
3897,Hi branch kindly let me sort out the issue in a few days... I remain committed to settling my loans on time despite a few constraints
3900,Thanks branch had missed this
4178,"Am sorry nlichelewa kulipa loan guys siyo kawaida yangu kuchelewesha lakini ni accident nlioata na mtoto wangu akachomeka na maji moto,naomba msamaha mwanzo mmeniinua sana kibiashara na ni ombi langu mtaendelea kunikopesha loan na tena ningeomba tafadhali don't lower loan limit please.will pay my loan on Friday, good day"
4373,When am I qualified to get another loan
4442,Hi! Am sure acc details are correct. Have not received the loan yet...
4442,I require a feedback plz
4442,Did sent the C Certificate
4481,R u guys going to punish me for ever?
4522,Meanings
4708,I cleared last year for how long
5000,"Hi Branch, am among your best beneficiaries of the Tala platform. However,  I have hit a 'dead-end' situation on my payment which is late for almost 5weeks after I took the loan. It has been caused by a temporal stagnation from my employment that was abruptly halted due to funding issues. Need to request for a little time extra as I commit myself to clear this loan I have. Kindly respond we agree on an amicable plan if payment. My Tel: 0723 496 592. Waiting for your feedback.   Regards,  Kenedy Sifuma"
5297,it can't be 1264 had paid 400 earlier pls update your systems and give the right balance
5480,"Hi branch,  Yes I have a problem which I thought it could have been through by now but it's not through. I have not been paid yet but kindly allow me to pay by next week please."
5696,Iam sending the full amount today just got busy
5724,"Some lady from brunch calls me n starts to abuse me just because i said av paid a total of 1000 which she claims from her side av paid on 600 .that my loan is 18394 n yet it shows hear clearly its 17994 .my question is ,is that how people who have defaulted are addressed coz surely av started paying ? N av introduced people who are paying so why look down on orhers"
6054,"Hi, l have paid my loan on time but, my loan has been rejected. Why has it been rejected?"
6326,Can't login
6515,The weekly text rem are a nuisance
6515,The weekly text rimindance
6515,Hi..please I can pay my loan in a month once..adjust your payment schedule and give options whether to pay weekly or monthly..
6884,OK I have paid all of it
7140,Why cant i have a loan now yet i have cleared my previous loan
7457,How do I get a loan
7725,"Dear Branch, sorry for late payment of my loan. This is due to unavoidable circumstances but I strive to clear the loan before Wednesday 8th feb next week"
7812,"Hi Branch,by 7th i promise to make some payment to reduce my loan."
7837,So in short  because i don't  have the SMS  that the e reason.
7837,Why was my loan request rejected and i have been paying on time
7944,"Dear Branch,Am experiencing difficult in payments but will deposit tomorrow evening.Thank you"
8014,"Hi ,whats the 7more days penalty for ?be frank n specify.I paid the previous loan on time."
8101,I have been trying this app for a long period... When i apply.. Am told try after 7 days...iy has become a song...i this app real or am waisting mi time and bundles for nothing?
8125,Will pay be4 15th
8392,I been with u For long an I made amistake but I won't repeat it agian I was having a sick ness....
8647,"Sorry,I meant December 2016"
8647,"Hi Branch...now my Application was rejected recently on 1st Feb 2017. I had borrowed Sh.25,000 in December 2015 of which I was slightly late in paying but I payed the whole loan today only to be dissapointed when I apply for another. It says I reapply again in 7days which is too long for me at the moment because I desperately need the cash. How can you assist?"
